dt,A,B
17.05977273,0,0
17.09137249,0,0
17.12352347,0,0
17.15419292,0,0
17.18529224,0,0
17.21613288,0,0
17.24718165,0,0
17.27839541,0,0
17.30977607,0,0
17.34217858,0,0
17.37361622,0,0
17.40467167,0,0
17.43624926,0,0
17.46692061,0,0
17.4984858,0,0
17.5299108,0,0
17.56137538,0,0
17.5933373,0,0
17.6247642,0,0
17.65640688,0,0
17.68851399,0,0
17.7201345,0,0
17.75149393,0,0
17.78201604,0,0
17.81342673,0,0
17.84427309,0,0
17.87523556,0,0
17.90592766,0,0
17.93700695,0,0
17.96860933,0,0
17.99925399,0,0
18.0308094,0,0
18.06225777,0,0
18.09337497,0,0
18.12469387,0,0
18.15562677,0,0
18.1869843,0,0
18.21896839,0,0
18.24928498,0,0
18.27987814,0,0
18.31148195,0,0
18.34276605,0,0
18.37456918,0,0
18.40714812,0,0
18.43973756,0,0
18.47132397,0,0
18.50260139,0,0
18.53362274,0,0
18.56530905,0,0
18.59644461,0,0
18.62704253,0,0
18.65925622,0,0
18.69016242,0,0
18.7219317,0,0
18.75404382,0,0
18.78520083,0,0
18.81713963,0,0
18.84804654,0,0
18.87934089,0,0
18.90964842,0,0
18.94125104,0,0
18.97241044,0,0
19.00376797,0,0
19.03537774,0,0
19.06597519,0,0
19.09696031,0,0
19.12797689,0,0
19.15979385,0,0
19.19242454,0,0
19.22374082,0,0
19.25532317,0,0
19.28643012,0,0
19.31826782,0,0
19.34979916,0,0
19.38128376,0,0
19.41235185,0,0
19.44304752,0,0
19.47429872,0,0
19.50593638,0,0
19.53741813,0,0
19.56817937,0,0
19.60013795,0,0
19.63057995,0,0
19.66146541,0,0
19.69316721,0,0
19.72388053,0,0
19.75514817,0,0
19.78603029,0,0
19.81718397,0,0
19.84779906,0,0
19.87916994,0,0
19.91162848,0,0
19.9432261,0,0
19.97569203,0,0
20.00661325,0,0
20.03847885,0,0
20.07049775,0,0
20.10195255,0,0
20.13287282,0,0
20.16448689,0,0
20.19571352,0,0
20.22663116,0,0
20.25828815,0,0
20.28959489,0,0
20.32110262,0,0
20.35277867,0,0
20.38495421,0,0
20.4158535,0,0
20.44758749,0,0
20.47828293,0,0
20.50897479,0,0
20.54018879,0,0
20.57225537,0,0
20.60185814,0,0
20.63336444,0,0
20.66434717,0,0
20.69555664,0,0
20.72672343,0,0
20.75740075,0,0
20.78897309,0,0
20.81997609,0,0
20.85126591,0,0
20.88203597,0,0
20.91300106,0,0
20.94450808,0,0
20.97481561,0,0
21.00609517,0,0
21.03780556,0,0
21.06992316,0,0
21.10016561,0,0
21.13093948,0,0
21.16232944,0,0
21.19425178,0,0
21.22616243,0,0
21.25696898,0,0
21.2887361,0,0
21.31925154,0,0
21.35069823,0,0
21.38248682,0,0
21.41284633,0,0
21.44465351,0,0
21.47597599,0,0
21.50745344,0,0
21.53886747,0,0
21.57041788,0,0
21.60198522,0,0
21.63399959,0,0
21.66529131,0,0
21.69693518,0,0
21.72797441,0,0
21.75925016,0,0
21.7903862,0,0
21.82148027,0,0
21.85236049,0,0
21.88365102,0,0
21.91532636,0,0
21.94652271,0,0
21.97766805,0,0
22.0087924,0,0
22.04052901,0,0
22.07174897,0,0
22.1029377,0,0
22.13413143,0,0
22.16466904,0,0
22.19574594,5.41297E-05,-1.80222E-07
22.22711563,5.41297E-05,-1.80222E-07
