dt,A
30.60900021,0
30.64137125,0
30.67248774,0
30.70475793,0
30.73550987,0
30.76736355,0
30.79857969,0
30.82970595,0
30.86128974,0
30.89279985,0
30.92442751,0
30.9557538,0
30.98699975,0
31.0186367,0
31.05007935,0
31.08166623,0
31.11319447,0
31.14446926,0
31.17577934,0
31.20741153,0
31.23794293,0
31.26952052,0
31.30034375,0
31.33153439,0
31.36214948,0
31.39383841,0
31.42496014,0
31.45641303,0
31.48783088,0
31.51989937,0
31.55095601,0
31.58246374,0
31.61338854,0
31.64436913,0
31.67563438,0
31.70715141,0
31.73891687,0
31.77054286,0
31.80181742,0
31.83377147,0
31.86508083,0
31.89621234,0
31.92770123,0
31.95948482,0
31.99072456,0
32.02177477,0
32.05334806,0
32.08431435,0
32.11550736,0
32.1464293,0
32.17731833,0
32.20922375,0
32.24120164,0
32.27248907,0
32.30346751,0
32.33415627,0
32.36483192,0
32.39628196,0
32.42719197,0
32.4594965,0
32.49062467,0
32.52197695,0
32.55340958,0
32.58439374,0
32.61518121,0
32.64638162,0
32.67759657,0
32.70902491,0
32.74033976,0
32.77262974,0
32.80370975,0
32.83512807,0
32.86617351,0
32.89782238,0
32.92930365,0
32.96047401,0
32.991786,0
33.02222967,0
33.0532999,0
33.08422112,0
33.1158421,0
33.14742303,0
33.17871141,0
33.20987463,0
33.24162173,0
33.27245665,0
33.30383301,0
33.33424902,0
33.3652997,0.000109785
33.39642334,0.000109785
33.42804217,0.000109785
33.45956135,0.000109785
33.49007821,0.000109785
33.5208869,0.000109785
33.55193472,0.000109785
33.58300877,0.000109785
33.61481977,0.000109785
33.64589286,0.000109785
33.6772089,0.000109785
33.70785594,0.000109785
33.73901772,0.000109785
33.77058363,0.000109785
33.80165648,0.000109785
33.83351994,0.000109785
33.86514735,0.000109785
33.89614677,0.000109785
33.92788553,0.000109785
33.95911527,0.000109785
33.99021268,0.000109785
34.02141523,0.000109785
34.05311894,0.000109785
34.08385086,0.000109785
34.11493564,0.000109785
34.14663363,0.000109785
34.17741036,0.000109785
34.20865536,0.000109785
34.24078178,0.000109785
34.27199173,0.000109785
34.30382133,0.000109785
34.33471084,0.000109785
34.36717272,0.000109785
34.39883161,0.000109785
34.4312644,0.000109785
34.4622519,0.000109785
34.49341989,0.000109785
34.52529573,0.000109785
34.55610418,0.000109785
34.58692908,0.000109785
34.61830926,0.000109785
34.64988065,0.000109785
34.68219638,0.000109785
34.71440578,0.000109785
34.74557424,0.000109785
34.77718115,0.000109785
34.80862713,0.000109785
34.84052372,0.000109785
34.87111568,0.000109785
34.90200329,0.000109785
34.93324947,0.000109785
34.96525502,0.000109785
34.99632406,0.000109785
35.02745509,0.000109785
35.05892754,0.000109785
35.08993459,0.000109785
35.12152457,0.000109785
35.15288138,0.000109785
35.18409371,0.000110012
35.21602082,0.000110012
35.24829388,0.000110012
